layer,neuron,rank,subcomponent,connecting_weight,abs_weight
gate_proj,1712,1,1252,0.238006,0.238006
gate_proj,1712,2,22895,0.221745,0.221745
gate_proj,1712,3,9794,-0.207675,0.207675
gate_proj,1712,4,17838,-0.164772,0.164772
gate_proj,1712,5,19312,-0.147573,0.147573
gate_proj,1712,6,1017,-0.143861,0.143861
gate_proj,1712,7,17344,0.140235,0.140235
gate_proj,1712,8,8047,-0.137151,0.137151
gate_proj,1712,9,22789,-0.133480,0.133480
gate_proj,1712,10,8248,0.119387,0.119387
gate_proj,1712,11,13572,0.117431,0.117431
gate_proj,1712,12,20655,-0.114972,0.114972
gate_proj,1712,13,1304,-0.112557,0.112557
gate_proj,1712,14,21650,0.109535,0.109535
gate_proj,1712,15,13647,-0.095073,0.095073
gate_proj,1712,16,6629,0.094255,0.094255
gate_proj,1712,17,5147,0.074169,0.074169
gate_proj,1712,18,2175,0.073356,0.073356
gate_proj,1712,19,5785,-0.068950,0.068950
gate_proj,1712,20,4001,-0.066166,0.066166
gate_proj,1712,21,5037,0.064628,0.064628
gate_proj,1712,22,24411,0.064581,0.064581
gate_proj,1712,23,4435,-0.053383,0.053383
gate_proj,1712,24,7226,-0.043626,0.043626
gate_proj,1712,25,23023,0.043438,0.043438
gate_proj,1712,26,18836,0.043335,0.043335
gate_proj,1712,27,17684,0.042499,0.042499
gate_proj,1712,28,23087,-0.041803,0.041803
gate_proj,1712,29,13196,-0.040340,0.040340
gate_proj,1712,30,19491,0.038776,0.038776
gate_proj,1712,31,15746,0.038065,0.038065
gate_proj,1712,32,7478,-0.035572,0.035572
gate_proj,1712,33,23035,0.034895,0.034895
gate_proj,1712,34,8844,0.034065,0.034065
gate_proj,1712,35,5179,0.033374,0.033374
gate_proj,1712,36,16106,0.032862,0.032862
gate_proj,1712,37,19599,0.031808,0.031808
gate_proj,1712,38,8960,0.031588,0.031588
gate_proj,1712,39,2940,0.031497,0.031497
gate_proj,1712,40,12614,-0.029475,0.029475
gate_proj,1712,41,4112,-0.029427,0.029427
gate_proj,1712,42,7737,0.029192,0.029192
gate_proj,1712,43,16401,0.029045,0.029045
gate_proj,1712,44,8673,-0.028701,0.028701
gate_proj,1712,45,15765,0.027830,0.027830
gate_proj,1712,46,20716,0.026528,0.026528
gate_proj,1712,47,3408,0.026109,0.026109
gate_proj,1712,48,1474,0.025949,0.025949
gate_proj,1712,49,11474,-0.025664,0.025664
gate_proj,1712,50,11141,0.025395,0.025395
gate_proj,10297,1,5147,-0.090348,0.090348
gate_proj,10297,2,10567,-0.066132,0.066132
gate_proj,10297,3,1252,0.064052,0.064052
gate_proj,10297,4,17747,-0.063881,0.063881
gate_proj,10297,5,11229,0.063286,0.063286
gate_proj,10297,6,7478,-0.063252,0.063252
gate_proj,10297,7,5785,0.061724,0.061724
gate_proj,10297,8,23529,0.059194,0.059194
gate_proj,10297,9,9794,-0.058481,0.058481
gate_proj,10297,10,11141,0.056658,0.056658
gate_proj,10297,11,17838,-0.054432,0.054432
gate_proj,10297,12,19312,-0.050991,0.050991
gate_proj,10297,13,12008,0.047911,0.047911
gate_proj,10297,14,22895,0.047901,0.047901
gate_proj,10297,15,17344,0.046978,0.046978
gate_proj,10297,16,1017,-0.045766,0.045766
gate_proj,10297,17,4112,0.045041,0.045041
gate_proj,10297,18,22789,-0.042635,0.042635
gate_proj,10297,19,21650,0.042240,0.042240
gate_proj,10297,20,7737,0.042090,0.042090
gate_proj,10297,21,8047,-0.037625,0.037625
gate_proj,10297,22,18221,0.037039,0.037039
gate_proj,10297,23,6629,0.036452,0.036452
gate_proj,10297,24,23087,-0.036292,0.036292
gate_proj,10297,25,13572,0.034179,0.034179
gate_proj,10297,26,23023,0.032632,0.032632
gate_proj,10297,27,8248,0.031179,0.031179
gate_proj,10297,28,13647,-0.030274,0.030274
gate_proj,10297,29,20564,0.029599,0.029599
gate_proj,10297,30,5101,0.029197,0.029197
gate_proj,10297,31,1171,-0.028936,0.028936
gate_proj,10297,32,13603,-0.028076,0.028076
gate_proj,10297,33,19599,0.027409,0.027409
gate_proj,10297,34,21330,-0.027343,0.027343
gate_proj,10297,35,10418,-0.026574,0.026574
gate_proj,10297,36,7911,0.025182,0.025182
gate_proj,10297,37,23161,0.024919,0.024919
gate_proj,10297,38,20655,-0.024898,0.024898
gate_proj,10297,39,23139,0.024248,0.024248
gate_proj,10297,40,9646,0.022932,0.022932
gate_proj,10297,41,11474,-0.022182,0.022182
gate_proj,10297,42,19451,0.021868,0.021868
gate_proj,10297,43,779,0.021568,0.021568
gate_proj,10297,44,23755,-0.021106,0.021106
gate_proj,10297,45,18836,0.021031,0.021031
gate_proj,10297,46,11787,-0.020620,0.020620
gate_proj,10297,47,4562,-0.020211,0.020211
gate_proj,10297,48,181,0.020050,0.020050
gate_proj,10297,49,1304,-0.019910,0.019910
gate_proj,10297,50,2432,0.019738,0.019738
gate_proj,8859,1,3408,0.106339,0.106339
gate_proj,8859,2,3060,0.075474,0.075474
gate_proj,8859,3,13196,0.060787,0.060787
gate_proj,8859,4,4032,0.054163,0.054163
gate_proj,8859,5,7548,0.046415,0.046415
gate_proj,8859,6,12162,-0.045479,0.045479
gate_proj,8859,7,20716,0.043731,0.043731
gate_proj,8859,8,17747,-0.042165,0.042165
gate_proj,8859,9,15441,-0.041799,0.041799
gate_proj,8859,10,15765,0.040914,0.040914
gate_proj,8859,11,4112,0.040089,0.040089
gate_proj,8859,12,12008,0.039826,0.039826
gate_proj,8859,13,10720,-0.039760,0.039760
gate_proj,8859,14,7478,-0.039446,0.039446
gate_proj,8859,15,10567,-0.038055,0.038055
gate_proj,8859,16,19599,-0.037980,0.037980
gate_proj,8859,17,5785,0.037227,0.037227
gate_proj,8859,18,4001,-0.037020,0.037020
gate_proj,8859,19,14143,-0.036399,0.036399
gate_proj,8859,20,23161,0.035652,0.035652
gate_proj,8859,21,1034,-0.035590,0.035590
gate_proj,8859,22,21755,-0.035321,0.035321
gate_proj,8859,23,21330,-0.033975,0.033975
gate_proj,8859,24,19214,-0.030959,0.030959
gate_proj,8859,25,7737,0.030870,0.030870
gate_proj,8859,26,23771,-0.030748,0.030748
gate_proj,8859,27,11141,0.029992,0.029992
gate_proj,8859,28,5185,0.029590,0.029590
gate_proj,8859,29,23529,0.028652,0.028652
gate_proj,8859,30,23606,-0.028361,0.028361
gate_proj,8859,31,2917,-0.028232,0.028232
gate_proj,8859,32,23490,0.027998,0.027998
gate_proj,8859,33,23139,-0.027539,0.027539
gate_proj,8859,34,779,0.027483,0.027483
gate_proj,8859,35,6058,-0.027434,0.027434
gate_proj,8859,36,11229,-0.027227,0.027227
gate_proj,8859,37,8960,0.026496,0.026496
gate_proj,8859,38,1304,0.026052,0.026052
gate_proj,8859,39,24411,-0.024581,0.024581
gate_proj,8859,40,12614,-0.024117,0.024117
