proj,neuron,rank,subcomponent,weight,abs_weight
gate_proj,8791,1,11229,-0.0855,0.0855
gate_proj,8791,2,7478,-0.06166,0.06166
gate_proj,8791,3,19599,-0.05672,0.05672
gate_proj,8791,4,11786,-0.05309,0.05309
gate_proj,8791,5,4032,0.05262,0.05262
gate_proj,8791,6,20716,0.05041,0.05041
gate_proj,8791,7,17747,-0.04842,0.04842
gate_proj,8791,8,23161,0.04791,0.04791
gate_proj,8791,9,11141,0.04596,0.04596
gate_proj,8791,10,5147,-0.0453,0.0453
gate_proj,8791,11,11378,-0.04529,0.04529
gate_proj,8791,12,23529,0.04382,0.04382
gate_proj,8791,13,23606,-0.0393,0.0393
gate_proj,8791,14,24467,-0.03744,0.03744
gate_proj,8791,15,5179,-0.03695,0.03695
gate_proj,8791,16,20655,0.03493,0.03493
gate_proj,8791,17,5437,-0.03466,0.03466
gate_proj,8791,18,6998,-0.03355,0.03355
gate_proj,8791,19,17184,-0.03222,0.03222
gate_proj,8791,20,18204,0.03166,0.03166
gate_proj,8791,21,11563,0.03121,0.03121
gate_proj,8791,22,1304,0.03119,0.03119
gate_proj,8791,23,779,0.03058,0.03058
gate_proj,8791,24,5101,0.03057,0.03057
gate_proj,8791,25,13603,-0.03044,0.03044
gate_proj,8791,26,6058,-0.03017,0.03017
gate_proj,8791,27,1823,-0.02945,0.02945
gate_proj,8791,28,1171,-0.02924,0.02924
gate_proj,8791,29,16085,-0.02885,0.02885
gate_proj,8791,30,1034,-0.02881,0.02881
gate_proj,8791,31,17005,0.0275,0.0275
gate_proj,8791,32,12162,-0.02703,0.02703
gate_proj,8791,33,12008,0.02635,0.02635
gate_proj,8791,34,1196,0.02621,0.02621
gate_proj,8791,35,4112,0.02606,0.02606
gate_proj,8791,36,20915,0.02584,0.02584
gate_proj,8791,37,16357,0.02542,0.02542
gate_proj,8791,38,11224,0.025,0.025
gate_proj,8791,39,7737,0.02491,0.02491
gate_proj,8791,40,7629,0.0247,0.0247
gate_proj,8791,41,17298,0.02469,0.02469
gate_proj,8791,42,10720,-0.02432,0.02432
gate_proj,8791,43,6196,-0.02407,0.02407
gate_proj,8791,44,19214,-0.024,0.024
gate_proj,8791,45,23693,0.02284,0.02284
gate_proj,8791,46,12977,-0.02279,0.02279
gate_proj,8791,47,21330,-0.02229,0.02229
gate_proj,8791,48,8440,-0.02223,0.02223
gate_proj,8791,49,16730,-0.02215,0.02215
gate_proj,8791,50,10567,0.02207,0.02207
gate_proj,11651,1,14179,0.0509,0.0509
gate_proj,11651,2,8152,0.05073,0.05073
gate_proj,11651,3,11229,-0.04876,0.04876
gate_proj,11651,4,15120,0.04712,0.04712
gate_proj,11651,5,7478,-0.04128,0.04128
gate_proj,11651,6,4112,0.03883,0.03883
gate_proj,11651,7,5645,0.03857,0.03857
gate_proj,11651,8,11787,0.03845,0.03845
gate_proj,11651,9,21330,-0.0353,0.0353
gate_proj,11651,10,1328,0.03523,0.03523
gate_proj,11651,11,10567,0.03505,0.03505
gate_proj,11651,12,3939,-0.03351,0.03351
gate_proj,11651,13,23771,0.03301,0.03301
gate_proj,11651,14,17512,-0.03257,0.03257
gate_proj,11651,15,12343,0.03176,0.03176
gate_proj,11651,16,6058,0.03109,0.03109
gate_proj,11651,17,1304,0.03092,0.03092
gate_proj,11651,18,20804,-0.03023,0.03023
gate_proj,11651,19,17747,-0.03012,0.03012
gate_proj,11651,20,11124,-0.03006,0.03006
gate_proj,11651,21,8623,0.02964,0.02964
gate_proj,11651,22,23161,0.0296,0.0296
gate_proj,11651,23,12614,-0.0291,0.0291
gate_proj,11651,24,12008,0.02908,0.02908
gate_proj,11651,25,11356,-0.02894,0.02894
gate_proj,11651,26,12665,-0.02812,0.02812
gate_proj,11651,27,15182,-0.02785,0.02785
gate_proj,11651,28,24467,0.0278,0.0278
gate_proj,11651,29,23035,0.02756,0.02756
gate_proj,11651,30,23529,0.02743,0.02743
gate_proj,11651,31,1196,-0.02729,0.02729
gate_proj,11651,32,6731,0.02667,0.02667
gate_proj,11651,33,9854,-0.02664,0.02664
gate_proj,11651,34,10720,-0.02601,0.02601
gate_proj,11651,35,12162,-0.02595,0.02595
gate_proj,11651,36,16085,-0.02576,0.02576
gate_proj,11651,37,7737,0.02541,0.02541
gate_proj,11651,38,18309,-0.02505,0.02505
gate_proj,11651,39,15138,0.02433,0.02433
gate_proj,11651,40,10094,-0.02423,0.02423
gate_proj,11651,41,1210,0.02415,0.02415
gate_proj,11651,42,14587,0.02402,0.02402
gate_proj,11651,43,5037,-0.02401,0.02401
gate_proj,11651,44,1329,0.02373,0.02373
gate_proj,11651,45,8451,-0.02361,0.02361
gate_proj,11651,46,1404,0.02331,0.02331
gate_proj,11651,47,8673,0.02309,0.02309
gate_proj,11651,48,23869,-0.02297,0.02297
gate_proj,11651,49,9306,-0.02263,0.02263
gate_proj,11651,50,8844,0.0225,0.0225
gate_proj,12527,1,11229,-0.08704,0.08704
gate_proj,12527,2,4032,0.04827,0.04827
gate_proj,12527,3,7478,-0.04451,0.04451
gate_proj,12527,4,10567,0.04292,0.04292
gate_proj,12527,5,23161,0.04,0.04
gate_proj,12527,6,14179,-0.03714,0.03714
gate_proj,12527,7,15120,-0.03659,0.03659
gate_proj,12527,8,5645,-0.03614,0.03614
gate_proj,12527,9,4435,0.03581,0.03581
gate_proj,12527,10,20655,0.03483,0.03483
gate_proj,12527,11,24467,-0.03438,0.03438
gate_proj,12527,12,5437,-0.03379,0.03379
gate_proj,12527,13,23529,0.03177,0.03177
gate_proj,12527,14,8673,-0.0316,0.0316
gate_proj,12527,15,11356,0.03152,0.03152
gate_proj,12527,16,8152,-0.03083,0.03083
gate_proj,12527,17,12162,-0.03045,0.03045
gate_proj,12527,18,15182,0.03029,0.03029
gate_proj,12527,19,5037,0.02958,0.02958
gate_proj,12527,20,21211,0.02946,0.02946
gate_proj,12527,21,6196,-0.02921,0.02921
gate_proj,12527,22,17747,-0.02905,0.02905
gate_proj,12527,23,11786,-0.029,0.029
gate_proj,12527,24,20716,0.02867,0.02867
gate_proj,12527,25,8821,0.02821,0.02821
gate_proj,12527,26,15138,-0.02774,0.02774
gate_proj,12527,27,11224,0.02746,0.02746
gate_proj,12527,28,20804,0.02697,0.02697
gate_proj,12527,29,23606,-0.02662,0.02662
gate_proj,12527,30,21755,-0.02652,0.02652
gate_proj,12527,31,17005,0.02646,0.02646
gate_proj,12527,32,16432,0.02624,0.02624
gate_proj,12527,33,181,0.02599,0.02599
gate_proj,12527,34,19599,-0.02596,0.02596
gate_proj,12527,35,16578,-0.02565,0.02565
gate_proj,12527,36,10330,0.02552,0.02552
gate_proj,12527,37,1328,-0.02498,0.02498
gate_proj,12527,38,11378,-0.0245,0.0245
gate_proj,12527,39,6731,-0.02434,0.02434
gate_proj,12527,40,8408,-0.02364,0.02364
gate_proj,12527,41,6998,-0.02361,0.02361
gate_proj,12527,42,22895,0.02332,0.02332
gate_proj,12527,43,12614,0.02328,0.02328
gate_proj,12527,44,8440,-0.02319,0.02319
gate_proj,12527,45,18498,-0.023,0.023
gate_proj,12527,46,19507,-0.02277,0.02277
gate_proj,12527,47,18309,0.0222,0.0222
gate_proj,12527,48,8438,-0.02209,0.02209
gate_proj,12527,49,8451,0.02178,0.02178
gate_proj,12527,50,17806,-0.02169,0.02169
gate_proj,391,1,20655,0.06615,0.06615
gate_proj,391,2,5147,-0.061,0.061
gate_proj,391,3,11224,0.05555,0.05555
gate_proj,391,4,8673,-0.04942,0.04942
