phase	wall_ms_max	gpu_active_ms_max	gpu_sum_ms_max	comm_ms_max	comm_sum_ms_max	comm_count_max	comm_frac_of_wall_pct
ppgd_warmup.PersistentPGDReconLoss.0.forward_loss	313.473	16.961	16.961	0.000	0.000	0	0.0
backward.total_loss	279.915	250.561	289.791	196.616	196.616	46	70.2
target_forward_input_cache	192.473	191.026	191.026	184.066	184.066	1	95.6
loss.PersistentPGDReconLoss	144.233	16.652	16.652	0.000	0.000	0	0.0
ci_forward	137.780	19.943	19.943	0.000	0.000	0	0.0
loss.StochasticReconSubsetLoss	28.226	17.237	17.237	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_grads	25.996	16.671	16.671	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_grads	25.680	16.631	16.631	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.forward_loss	25.499	16.635	16.635	0.000	0.000	0	0.0
ppgd_final_grads.PersistentPGDReconLoss	23.609	16.617	16.617	0.000	0.000	0	0.0
optimizer.step	14.273	12.855	12.855	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_step	5.875	4.487	4.487	0.000	0.000	0	0.0
ppgd_final_step.PersistentPGDReconLoss	5.438	4.482	4.482	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_step	5.408	4.478	4.478	0.000	0.000	0	0.0
weight_deltas	4.897	3.753	3.753	0.000	0.000	0	0.0
loss.ImportanceMinimalityLoss	4.727	1.551	1.551	0.000	0.000	0	0.0
ci_l_zero	2.508	1.081	1.081	0.000	0.000	0	0.0
loss.FaithfulnessLoss	2.068	0.293	0.293	0.000	0.000	0	0.0
pre_optimizer_barrier	1.918	1.429	1.429	1.428	1.428	1	74.5
grad_clip.components	1.342	0.434	0.434	0.000	0.000	0	0.0
optimizer.zero_grad	1.104	0.000	0.000	0.000	0.000	0	0.0
total_loss	0.650	0.024	0.024	0.000	0.000	0	0.0
data.next	0.441	0.000	0.000	0.000	0.000	0	0.0
data.to_device	0.429	0.004	0.004	0.000	0.000	0	0.0
lr_schedule	0.421	0.000	0.000	0.000	0.000	0	0.0
ppgd.update_lr	0.368	0.000	0.000	0.000	0.000	0	0.0
